id, comment



1078, deberia mirar los cables o el centro del tablero?
1079, deberia separarlo en imagenes individuales o tomarla como una sola imagen
1081, es un tablero? como deberia medirlo?
1099, deberia separarlo en imagenes individuales? / que cables deberia comparar?
1118, deberia separarlo en imagenes individuales? / que cables deberia comparar?
1125, que deberia medir en esta imagen?
1134, deberia separarlo en imagenes individuales? / que cables deberia comparar?
1170, ?
1243, que es esta imagen?
1259, deberia separarlo en imagenes individuales
1374, ?
1375, ?
1381, ?
1388, ?
1396, ?
1436, ?
1468, ? 
1485, ?
1489, ?
1506, ?
1519, ?
1526, ?
1528, ?
1542, ?
1547, ?
1570, ?
1574, ?
1577, ?
1596, ?
1599, ?
1602, ?
1614, ?
1615, ?
1619, ?
1622, ?
1623, ?
1625, ?
1629, ?
1639, ?
1643, ?
1733, ?
1791, ?
1964, ?
1981, ?
1989, ?
1995, ?
2008, ?
2014, ?
2034, ?
2036, ?
2081, ?
2085, ?
2100, ?
2119, ?
3, que es?
8, es tablero?
9, se considera tablero?
21, es?
136, ?
139, ?
142, ?
143, ?
159, ?
162, ?
181, ?
187, ?
195, ?
199, ?
200, ?
206, ?
215, ?
221, ?
223, ?
229, ?
233, ?
245, ?
248, ?
260, ?
276, ?
279, ?
286, ?
364, ?
367, ?
450, ?
459, ?
598, ?
669, ?
679, ?
683, ?
737, ?
765, ?
778, ?
835, ?
876, ?
